city,bazab,votes,avoda,yahadut,reshima,benet,kulanu,beytenu,likud,merets,atid,yarok,yahad,shas,cluster,population,,
עיר,בזב,הצבעה,המחנה הציוני,יהדות התורה,הרשימה המשותפת,הבית היהודי,כולנו,ישראל ביתנו,הליכוד,מרץ,יש עתיד,עלה ירוק,יחד,"ש""ס",קלאסטר,אוכלוסיה,,
total,5677284,2936832,452748,191101,395800,169126,218263,173221,704057,80599,239895,26631,89011,196380,,5632343,,
distribution,,,3,4,1.5,7.5,8.75,6,8.75,0,5,10,4,4,,,,
אבו גוש,4178,2452,143,4,2114,10,21,5,58,41,14,2,5,35,2,5822,,
אבו סנאן,8363,5678,299,3,3802,10,158,799,255,66,41,11,21,213,3,12238,,
אבן יהודה,9206,7227,2739,37,9,304,629,66,1376,482,1340,80,53,112,8,9645,,
אום אל-פחם,30363,20246,69,11,19709,5,12,6,21,386,17,4,2,4,2,45013,,
אופקים,18915,12411,650,1808,9,730,625,1258,3752,66,378,116,569,2450,3,23163,,
אור יהודה,26366,18472,2250,304,10,841,2084,622,7509,255,1370,144,401,2682,5,33475,,
אור עקיבא,14611,9257,577,122,20,473,1209,1014,4218,65,426,90,130,913,4,15852,,
אורנית,5690,4638,1003,35,0,678,338,75,1214,119,1004,72,57,43,8,5656,,
אזור,9238,6447,1407,66,2,364,716,254,1994,140,794,79,114,517,6,10452,,
אילת,47042,22736,3881,55,213,1452,2572,1276,8039,467,2471,787,498,1025,5,47267,,
אכסאל,8279,5412,34,3,5184,3,4,1,58,60,4,1,0,60,2,11847,,
אליכין,2459,1934,286,43,1,212,314,10,661,20,94,21,62,210,5,2906,,
אלעד,17047,14856,30,5000,1,754,69,13,663,2,12,25,2094,6193,2,33594,,
אלפי מנשה,5366,4230,879,39,2,404,393,105,1286,78,866,75,53,50,8,6339,,
אלקנה,2455,2092,22,11,0,1459,25,6,362,3,25,11,151,17,8,3216,,
אעבלין,8040,4812,436,5,3829,3,59,76,78,231,24,7,1,63,3,11215,,
אריאל,14190,9685,432,31,6,1303,605,1550,4486,58,556,223,350,85,5,16008,,
אשדוד,170193,112861,9694,11132,33,5486,8616,15127,35653,854,8841,1322,4180,11923,5,199649,,
אשקלון,102360,64079,6263,645,53,3694,5390,9681,25655,566,4243,765,2907,4217,5,107636,,
באקה אל-גרביה,16410,9975,259,4,9428,1,0,2,11,249,5,2,5,9,3,24688,,
באר טוביה,661,541,326,1,2,10,22,5,34,41,92,7,1,0,6,18558,,
באר יעקב,10833,8423,1754,97,12,459,1044,170,2676,141,1238,90,142,600,6,8025,,
באר שבע,156696,96735,11887,676,531,6782,8548,11721,36614,1357,7364,1179,3898,6178,5,187117,,
בועיינה-נוג'ידאת,5550,3356,112,2,3038,5,49,3,10,82,1,2,5,47,2,7835,,
בוקעאתא,363,17,4,0,1,0,3,0,5,1,1,1,0,1,2,5715,,
ביר אל-מכסור,5562,2616,226,1,1733,27,18,1,6,35,397,2,3,167,2,7437,,
בית אל,3210,2718,5,19,0,1604,10,2,308,0,2,24,724,20,5,4214,,
בית אריה,3082,2398,261,15,2,520,205,48,932,20,254,42,52,47,7,3577,,
בית ג'ן,7819,4123,1902,0,242,73,406,727,207,242,125,15,85,99,2,10355,,
בית דגן,4833,3747,591,52,3,310,453,69,1441,50,417,44,113,204,7,6593,,
בית שאן,13392,9275,467,88,31,595,666,236,4742,27,287,69,322,1745,4,16794,,
בית שמש,50926,33813,1111,9589,8,3053,1187,1321,9051,162,881,169,2421,4860,3,72252,,
ביתר עילית,19103,15954,22,9347,0,101,27,26,234,9,8,27,2249,3904,1,32800,,
בני ברק,101291,78513,1004,46661,13,1848,902,533,3591,158,508,129,4323,18843,3,141523,,
"בני עי""ש",5747,3960,268,16,0,288,327,981,1255,32,334,76,169,214,5,6582,,
בנימינה-גבעת עדה,9165,6952,2671,15,13,353,527,89,1271,645,1087,89,42,150,8,11877,,
"בסמ""ה",5446,3531,35,1,3334,0,41,0,19,89,5,0,1,6,2,7562,,
בסמת טבעון,4656,2259,170,9,1837,7,150,4,25,35,8,2,1,11,2,6666,,
בענה,4832,3808,12,0,3670,3,4,26,7,47,1,0,0,38,2,9481,,
בת ים,124035,67961,9942,704,123,3513,7662,8785,22756,966,6344,823,1651,4692,5,128596,,
ג'דיידה-מכר,12533,8533,195,2,8166,11,16,7,25,54,7,4,20,26,2,17999,,
ג'ולס,4233,2485,1036,0,140,3,332,269,352,22,126,12,62,131,3,5580,,
ג'לג'וליה,5410,4411,239,0,3983,5,16,2,6,155,3,0,1,1,2,8405,,
ג'סר א-זרקא,7792,4470,124,1,3524,6,6,0,52,165,196,2,3,391,1,12056,,
ג'ש (גוש חלב),2309,1348,117,1,945,3,17,157,3,76,7,3,5,14,5,2872,,
ג'ת,7038,3656,17,0,3467,1,7,1,5,130,3,1,1,23,3,8959,,
גבעת זאב,10109,7788,567,1051,6,813,472,119,2644,64,498,80,599,875,5,10413,,
גבעת שמואל,16616,13203,2156,207,9,3818,878,182,3211,362,1283,94,503,500,8,20798,,
גבעתיים,45863,33420,13526,193,101,1520,2595,443,5636,3219,5183,319,268,417,8,51575,,
גדרה,15469,11740,2793,83,8,875,1225,306,3574,372,1607,122,430,345,6,18972,,
גזר,356,190,97,0,2,3,7,1,16,49,12,2,0,1,7,20160,,
גן יבנה,14381,10999,2248,125,4,866,1177,359,3499,210,1555,224,309,423,6,17088,,
גני תקווה,11599,9100,2811,236,11,540,708,131,1879,406,1445,84,220,629,8,12430,,
דאלית אל-כרמל,11579,6627,1556,3,460,16,2506,627,519,126,411,23,1,379,3,16032,,
דייר אל-אסד,7130,5627,134,0,4976,0,24,4,25,102,3,5,5,349,2,10370,,
דייר חנא,6437,5286,92,3,4955,0,65,25,34,62,11,1,3,35,3,8717,,
דימונה,26988,16050,1258,156,25,1084,1176,1577,6615,76,1419,198,474,1992,4,31892,,
הוד השרון,39575,30541,11920,145,34,1175,2499,595,5697,1963,5124,397,262,730,8,45091,,
הר אדר,2668,2122,824,2,5,92,162,25,392,191,388,17,9,15,9,2904,,
זכרון יעקב,15214,11645,3899,680,15,685,972,155,2060,800,1635,115,130,499,8,17793,,
זמר,4088,2538,58,1,2310,2,6,1,24,127,2,2,2,3,3,5605,,
זרזיר,4632,2152,427,0,1372,34,116,1,85,59,26,3,0,29,2,6248,,
חדרה,69790,44596,7093,756,138,2253,7044,3747,14386,866,4396,529,623,2765,5,77340,,
חולון,154550,101813,20535,631,91,4959,12230,5601,31833,2173,12760,1112,1842,8046,5,175227,,
חורה,6037,3013,118,0,2794,4,10,6,23,33,1,3,3,18,2,15969,,
חורפיש,4086,2138,345,0,199,121,539,324,200,60,131,5,81,133,3,5370,,
חיפה,243274,149021,37805,4894,12363,8032,12697,12010,31025,6783,16826,1596,1648,3342,7,253679,,
חצור הגלילית,6885,4860,295,699,4,303,327,264,2156,10,105,49,167,481,3,8344,,
טבריה,33447,20184,1520,719,26,983,1772,1240,9005,99,931,170,682,3037,4,40215,,
טורעאן,8160,5250,109,0,4916,6,18,26,31,109,4,3,4,24,3,11720,,
טייבה,24480,17820,165,1,17178,14,10,10,48,304,18,14,6,52,3,35716,,
טירה,16091,11553,121,3,11028,7,14,2,19,332,16,6,1,4,3,22161,,
טירת כרמל,16155,10546,948,86,12,625,1546,530,4826,67,473,98,184,1151,4,18482,,
טמרה,19804,15580,161,4,14962,1,9,3,59,202,91,1,6,81,3,27919,,
יאנוח-ג'ת,4016,2136,254,0,119,5,530,599,257,5,56,5,58,248,3,5558,,
